country,industry,ai_tool,adoption_rate,daily_active_users,year,age_group,company_size
Australia,Agriculture,Bard,90.3,5501,2024,25-34,Enterprise
Australia,Agriculture,ChatGPT,98.86,9405,2024,25-34,Enterprise
Australia,Agriculture,Claude,87.41,4012,2024,25-34,Enterprise
Australia,Agriculture,Midjourney,98.87,6183,2024,25-34,Enterprise
Australia,Agriculture,Stable Diffusion,93.69,5435,2024,25-34,Enterprise
Australia,Education,Bard,85.3,9237,2024,25-34,Enterprise
Australia,Education,ChatGPT,99.97,7023,2024,25-34,Enterprise
Australia,Education,Claude,80.0,2739,2024,25-34,Enterprise
Australia,Education,Midjourney,87.68,3849,2024,25-34,Enterprise
Australia,Education,Stable Diffusion,91.6,1436,2024,25-34,Enterprise
Australia,Finance,Bard,99.55,1289,2024,25-34,Enterprise
Australia,Finance,ChatGPT,95.04,2178,2024,25-34,Enterprise
Australia,Finance,Claude,93.27,2173,2024,25-34,Enterprise
Australia,Finance,Midjourney,98.76,6922,2024,25-34,Enterprise
Australia,Finance,Stable Diffusion,94.96,9698,2024,25-34,Enterprise
Australia,Healthcare,Bard,75.05,3334,2024,25-34,Enterprise
Australia,Healthcare,ChatGPT,98.46,1119,2024,25-34,Enterprise
Australia,Healthcare,Claude,69.59,2913,2024,25-34,Enterprise
Australia,Healthcare,Midjourney,89.07,9107,2024,25-34,Enterprise
Australia,Healthcare,Stable Diffusion,91.39,2182,2024,25-34,Enterprise
Australia,Manufacturing,Bard,96.7,8378,2024,25-34,Enterprise
Australia,Manufacturing,ChatGPT,94.99,3992,2024,25-34,Enterprise
Australia,Manufacturing,Claude,56.24,4446,2024,25-34,Enterprise
Australia,Manufacturing,Midjourney,94.23,4387,2024,25-34,Enterprise
Australia,Manufacturing,Stable Diffusion,95.21,3829,2024,25-34,Enterprise
Australia,Retail,Bard,99.26,6748,2024,25-34,Enterprise
Australia,Retail,ChatGPT,99.99,8620,2024,25-34,Enterprise
Australia,Retail,Claude,59.56,7201,2024,25-34,Enterprise
Australia,Retail,Midjourney,98.12,2136,2024,25-34,Enterprise
Australia,Retail,Stable Diffusion,98.34,944,2024,25-34,Enterprise
Australia,Technology,Bard,76.89,1674,2024,25-34,Enterprise
Australia,Technology,ChatGPT,97.12,9940,2024,25-34,Enterprise
Australia,Technology,Claude,99.67,6629,2024,25-34,Enterprise
Australia,Technology,Midjourney,98.58,8942,2024,25-34,Enterprise
Australia,Technology,Stable Diffusion,98.9,6710,2024,25-34,Enterprise
Australia,Transportation,Bard,85.95,6803,2024,25-34,Enterprise
Australia,Transportation,ChatGPT,99.06,6677,2024,25-34,Enterprise
Australia,Transportation,Claude,34.79,4658,2024,25-34,Enterprise
Australia,Transportation,Midjourney,96.4,7047,2024,25-34,Enterprise
Australia,Transportation,Stable Diffusion,97.05,7896,2024,25-34,Enterprise
Brazil,Agriculture,Bard,94.13,1765,2024,25-34,Enterprise
Brazil,Agriculture,ChatGPT,99.22,5789,2024,25-34,Enterprise
Brazil,Agriculture,Claude,72.11,9662,2024,25-34,Enterprise
